Date,Open,High,Low,Close*,Adj. close**,Volume
04-Oct-17,242.05,243,240.3,241.9,241.9,"32,07,388"
05-Oct-17,242,242.85,239.4,240.75,240.75,"36,98,369"
06-Oct-17,241,252.15,241,250.9,250.9,"94,53,802"
09-Oct-17,250.45,253.4,248.35,249.5,249.5,"57,44,914"
10-Oct-17,250.5,253.5,248.1,252.05,252.05,"81,06,676"
11-Oct-17,252.95,254.6,246.6,249.5,249.5,"97,99,296"
12-Oct-17,250.25,265.4,249.7,264.45,264.45,"3,03,20,448"
13-Oct-17,264.7,267.65,261.5,266.6,266.6,"1,22,76,907"
16-Oct-17,268.45,272.9,267.5,271.4,271.4,"1,46,32,858"
17-Oct-17,271.9,277.9,269.5,276.5,276.5,"99,29,992"
18-Oct-17,277,278.45,273.2,275.3,275.3,"96,64,157"
19-Oct-17,275,275.25,273.15,273.9,273.9,"5,69,539"
23-Oct-17,274.65,278.55,269.45,271.9,271.9,"62,63,035"
24-Oct-17,269.6,275,267.5,268.85,268.85,"95,97,374"
25-Oct-17,271.8,272.4,264.25,266.75,266.75,"72,40,195"
26-Oct-17,269.25,275.3,268,272.9,272.9,"84,84,342"
27-Oct-17,275.95,276.3,269.15,270.05,270.05,"45,87,536"
30-Oct-17,270.55,275.8,270.45,273.2,273.2,"46,47,384"
31-Oct-17,272.2,273.8,264.75,267.4,267.4,"47,64,121"
01-Nov-17,269.5,276,267.6,275.3,275.3,"90,43,536"
02-Nov-17,276,276,266.35,270.8,270.8,"83,17,616"
03-Nov-17,276.4,277.6,265.6,268.9,268.9,"1,43,96,735"
06-Nov-17,268.7,274.6,261,272.95,272.95,"1,05,82,403"
07-Nov-17,273.85,274.9,264,266.9,266.9,"88,82,930"
08-Nov-17,268.2,269.85,259.2,263.05,263.05,"79,22,193"
09-Nov-17,267.1,267.95,259,263.3,263.3,"74,19,140"
10-Nov-17,261.5,267.05,260.8,264.05,264.05,"52,72,277"
13-Nov-17,264,265.25,258.8,260.9,260.9,"54,39,255"
14-Nov-17,260.1,264.75,259.15,261,261,"55,75,097"
15-Nov-17,259.5,259.7,248.4,251.85,251.85,"98,86,735"
16-Nov-17,253.55,256.15,251.35,254.7,254.7,"52,64,913"
17-Nov-17,256.75,263.2,256.75,258.85,258.85,"59,27,180"
20-Nov-17,259,262.5,253.3,261.45,261.45,"63,77,940"
21-Nov-17,262.6,265.1,259.25,261.45,261.45,"36,10,061"
22-Nov-17,262.8,263.85,256.8,257.75,257.75,"44,97,727"
23-Nov-17,257,258.65,250.05,255.25,255.25,"96,82,203"
24-Nov-17,255.3,255.75,251,251.65,251.65,"61,86,665"
27-Nov-17,250.9,253.6,247.2,249.65,249.65,"75,92,581"
28-Nov-17,249.15,253,248,250.65,250.65,"46,92,698"
29-Nov-17,250.9,251.95,246,246.9,246.9,"52,85,364"
30-Nov-17,245.1,247.45,239.5,240.45,240.45,"1,49,98,374"
01-Dec-17,240.5,241.35,233.55,235.35,235.35,"72,09,250"
04-Dec-17,236.5,240.85,234.65,239.55,239.55,"64,57,124"
05-Dec-17,238.85,241.7,235.7,240.05,240.05,"67,75,195"
06-Dec-17,236.5,236.65,231.2,232.1,232.1,"74,02,990"
07-Dec-17,232.5,238,229.4,237.2,237.2,"76,97,931"
08-Dec-17,238.45,243.95,237.55,239.7,239.7,"88,57,585"
11-Dec-17,240,240.85,236.05,238.1,238.1,"66,13,622"
12-Dec-17,238.45,243.2,236.6,237.95,237.95,"52,68,296"
13-Dec-17,235.65,239.9,233.55,234.45,234.45,"73,49,390"
14-Dec-17,235.5,238,233.05,236.4,236.4,"66,18,531"
15-Dec-17,240.85,243.95,239.1,242.75,242.75,"62,90,840"
18-Dec-17,241,254.3,235.5,249.65,249.65,"1,38,33,894"
19-Dec-17,252,254.9,250.6,254.3,254.3,"55,50,113"
20-Dec-17,254.5,261,251.2,258.35,258.35,"1,55,19,081"
21-Dec-17,260.9,264.65,259.65,263.3,263.3,"1,37,70,746"
22-Dec-17,263.5,269.5,263.35,267.85,267.85,"77,60,233"
26-Dec-17,268.8,270.5,266.5,268.65,268.65,"43,32,214"
27-Dec-17,268.9,269.7,264.7,265.75,265.75,"63,51,948"
